"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
108,Zimbabwe,"265,604",,"5,709                                ",,"258,888",,"1,007",12,"17,324",372,"2,525,756","164,744"
109,Uzbekistan,"253,662",,"1,637                                ",,"241,486",,"10,539",23,"7,378",48,"1,377,915","40,077"
110,Mozambique,"233,417",,"2,243                                ",,"228,805",,"2,369",11,"7,054",68,"1,371,127","41,437"
111,Martinique,"230,354",,"1,102                                ",,N/A,N/A,N/A,12,"615,777","2,946","828,928","2,215,870"
112,Afghanistan,"223,576",,"7,931                                ",,"203,274",,"12,371",45,"5,486",195,"1,276,124","31,313"
113,Laos,"218,549",,758                                ,,N/A,N/A,N/A,,"29,214",101,"1,233,207","164,845"
114,Iceland,"209,191",,229                                ,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036"
115,Kyrgyzstan,"206,897",,"2,991                                ",,"196,406",,"7,500",131,"30,750",445,"1,907,195","283,460"
116,Guadeloupe,"203,235",,"1,021                                ",,N/A,N/A,N/A,19,"508,349","2,554","938,039","2,346,306"
117,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467"
118,Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,8,"136,143","3,121","913,289","649,295"
119,Maldives,"186,685",,316                                ,,"163,687",,"22,682",25,"345,084",584,"2,213,831","4,092,223"
120,Ghana,"171,657",,"1,462                                ",,"170,161",,34,2,"5,299",45,"2,536,496","78,298"
121,Namibia,"171,310",,"4,091                                ",,"167,099",,120,,"65,041","1,553","1,062,663","403,460"
122,Uganda,"170,775",,"3,632                                ",,"100,431",,"66,712",3,"3,526",75,"3,012,408","62,198"
123,Jamaica,"155,292",,"3,566                                ",,"103,011",,"48,715",,"52,022","1,195","1,183,986","396,633"
124,Cambodia,"138,931",,"3,056                                ",,"135,856",+7,19,,"8,092",178,"3,091,420","180,062"
125,Rwanda,"133,194",,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778"
126,Cameroon,"125,090",,"1,974                                ",,"122,807",,309,13,"4,482",71,"1,751,774","62,762"
127,Malta,"119,063",,844                                ,,"117,656",,563,4,"268,140","1,901","2,142,619","4,825,360"
128,Barbados,"107,794",,593                                ,,"106,971",,230,,"374,255","2,059","801,451","2,782,594"
129,Angola,"105,384",,"1,934                                ",,"103,419",,31,,"3,009",55,"1,499,795","42,818"
130,Channel Islands,"101,717",,228                                ,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551"
131,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951"
132,DRC,"97,644",,"1,468                                ",,"84,489",,"11,687",,"1,025",15,"846,704","8,890"
133,Senegal,"89,005",,"1,971                                ",,"87,024",,10,,"5,042",112,"1,146,543","64,946"
134,Malawi,"88,770",,"2,686                                ",,"85,651",,433,67,"4,399",133,"624,784","30,959"
135,Ivory Coast,"88,335",,835                                ,,"87,497",,3,,"3,184",30,"1,690,934","60,951"
136,Suriname,"82,588",,"1,408                                ",,N/A,N/A,N/A,,"138,378","2,359","242,207","405,822"
137,New Caledonia,"79,922",,314                                ,,"79,605",,3,9,"274,726","1,079","98,964","340,182"
138,French Polynesia,"78,601",,649                                ,,N/A,N/A,N/A,7,"276,604","2,284",,
139,Eswatini,"74,882",,"1,427                                ",,"73,116",,339,,"63,201","1,204","1,048,704","885,119"
140,Guyana,"73,385",,"1,299                                ",,"72,013",,73,,"92,419","1,636","733,218","923,396"
141,Belize,"70,782",,688                                ,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453"
142,Fiji,"69,117",,885                                ,,"67,226",,"1,006",,"75,997",973,"672,883","739,866"
143,Madagascar,"68,289",,"1,425                                ",,"66,862",,2,,"2,340",49,"531,329","18,210"
144,Cabo Verde,"64,134",,414                                ,,"63,637",,83,23,"112,976",729,"401,622","707,482"
145,Sudan,"63,993",,"5,046                                ",,"58,763",,184,,"1,391",110,"562,941","12,240"
146,Mauritania,"63,715",,997                                ,,"62,471",,247,,"12,998",203,"1,009,957","206,030"
147,Bhutan,"62,673",,21                                ,,"61,564",,"1,088",,"79,540",27,"2,303,734","2,923,739"
149,Burundi,"54,188",,38                                ,,"53,569",,581,,"4,292",3,"345,742","27,386"
150,Seychelles,"50,937",,172                                ,,"50,750",,15,,"512,311","1,730",,
151,Gabon,"48,992",,307                                ,,"48,674",,11,,"21,013",132,"1,621,909","695,641"
152,Andorra,"48,015",,165                                ,,"47,563",,287,14,"619,844","2,130","249,838","3,225,256"
153,Papua New Guinea,"46,864",,670                                ,,"43,982",,"2,212",7,"5,043",72,"249,149","26,813"
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640"
155,Aruba,"44,200",,236                                ,,"42,438",,"1,526",2,"410,746","2,193","177,885","1,653,068"
156,Tanzania,"43,078",,846                                ,,N/A,N/A,N/A,7,681,13,,
157,Mauritius,"42,642",,"1,051                                ",,"40,904",,687,,"33,452",824,"358,675","281,374"
158,Mayotte,"42,027",,188                                ,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038"
159,Togo,"39,506",,290                                ,,"39,213",,3,,"4,551",33,"812,554","93,603"
160,Guinea,"38,563",,468                                ,,"37,757",,338,8,"2,781",34,"660,107","47,607"
161,Bahamas,"38,084",,844                                ,,"36,366",,874,1,"95,087","2,107","257,839","643,767"
162,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422"
163,Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199"
164,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409"
165,Haiti,"34,306",,860                                ,,"33,372",,74,,"2,937",74,"132,422","11,337"
166,Mali,"33,151",,743                                ,,"32,332",,76,,"1,544",35,"804,870","37,482"
167,Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280"
168,Saint Lucia,"30,052",,409                                ,,"29,095",,548,,"162,344","2,209","210,983","1,139,752"
169,Benin,"28,014",,163                                ,,"27,847",,4,,"2,191",13,"604,310","47,268"
170,Somalia,"27,334",,"1,361                                ",,"13,182",,"12,791",,"1,623",81,"400,466","23,778"
171,Micronesia,"26,459",,65                                ,,N/A,N/A,N/A,1,"225,204",553,"82,430","701,598"
172,Congo,"25,375",,386                                ,,"24,006",,983,,"4,377",67,"347,815","59,991"
173,Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"34,077",212,,
174,San Marino,"24,326",,125                                ,,"24,196",,5,4,"713,686","3,667","196,855","5,775,414"
175,Timor-Leste,"23,457",,138                                ,,"23,102",,217,,"17,129",101,"278,529","203,391"
176,Burkina Faso,"22,056",,396                                ,,"21,596",,64,,998,18,"248,995","11,265"
178,Gibraltar,"20,550",,113                                ,,"16,579",,"3,858",,"609,720","3,353","534,283","15,852,213"
179,Grenada,"19,693",,238                                ,,"19,358",,97,4,"173,545","2,097","182,981","1,612,523"
180,Bermuda,"18,860",,165                                ,,"18,685",,10,,"304,493","2,664","1,029,558","16,622,128"
181,Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"2,728",33,,
182,South Sudan,"18,368",,138                                ,,"18,115",,115,1,"1,581",12,"410,280","35,313"
183,Tajikistan,"17,786",,125                                ,,"17,264",,397,,"1,786",13,,
184,Equatorial Guinea,"17,229",,183                                ,,"16,907",,139,5,"11,512",122,"365,697","244,342"
185,Monaco,"16,840",,67                                ,,"15,992",,781,4,"423,296","1,684","78,646","1,976,875"
186,Tonga,"16,819",,13                                ,,"15,638",,"1,168",,"156,094",121,"535,009","4,965,327"
187,Samoa,"16,771",,31                                ,,"1,605",,"15,135",,"82,927",153,"187,397","926,612"
188,Marshall Islands,"16,098",,17                                ,,"16,079",,2,,"268,045",283,,
189,Dominica,"15,760",,74                                ,,"15,673",,13,,"217,848","1,023","229,344","3,170,187"
190,Djibouti,"15,690",,189                                ,,"15,427",,74,,"15,441",186,"305,941","301,094"
191,CAR,"15,368",,113                                ,,"15,200",,55,2,"3,063",23,"81,294","16,205"
192,Gambia,"12,626",,372                                ,,"12,189",,65,,"4,935",145,"155,686","60,851"
193,Saint Martin,"12,324",,63                                ,,"1,399",,"10,862",7,"310,194","1,586","112,382","2,828,643"
194,Macao,"12,041",,123                                ,,"3,487",,"8,431",,"18,039",184,"7,850","11,760"
